Species,Stock.or.Area,Year,Month,Day,Interaction.Type,County.Locale,STATE,Initial.Injury.Assessment,Comments,Final.Injury.Assessment,SI.Criteria.Supporting.Assessment,SI.Proration.Value,COUNT.AGAINST.LOF,COUNT.AGAINST.PBR
BLUE WHALE,EASTERN N PACIFIC,2010,8,25,VESSEL STRIKE,SANTA BARBARA,CA,DEAD,MULTIPLE FRAGMENTS OF VERTEBRAE AND RIBS IN ABDOMINAL CAVITY,DEAD,NA,1,N,Y
BLUE WHALE,EASTERN N PACIFIC,2010,10,2,VESSEL STRIKE,SAN MATEO,CA,DEAD,BROKEN BONES AND HEMORRHAGE CONSISTENT WITH VESSEL STRIKE,DEAD,NA,1,N,Y
BLUE WHALE,EASTERN N PACIFIC,2015,9,4,UNIDENTIFIED POT/TRAP FISHERY ENTANGLEMENT,LOS ANGELES,CA,SI (PRORATE),"OVERHEAD CAMERA FOOTAGE INDICATES THAT GEAR ORIGINATES FROM MOUTH OR RIGHT PECTORAL AND RUNS ALONG BODY, POSSIBLY TWO LINES, ONE OVER THE FLUKES AND ANOTHER UNDER THE FLUKES THEN APPROX 40 FT BEHIND WHALE, THEN WRAPS/TWISTS TOGETHER AND GOES BACK 400+ FEET; CDFW CONCURS IS CONSISTENT WITH DEEP SET TRAP, POSSIBLY HAGFISH, SABLEFISH, OR SPOT PRAWN. CONFIGURATION OF GEAR UNKNOWN AND CANNOT TELL IF GEAR IS CONSTRICTING OR LOOSELY WRAPPED. WHALE REPORTED AS SWIMMING AND DIVING, BUT NOT ENOUGH TO SUBMERGE BODY. WHALE APPEARS SLIGHTLY THIN, IMPLYING A DECLINE IN HEALTH STATUS DUE TO THE TRAILING GEAR.  SERIOUS INJURY PRORATION VALUE IS ASSIGNED AS = 1 FOR THIS REASON.  PHOTOS AND VIDEO REVIEWED BY J. CARRETTA, J. GILPATRICK, M. LYNN AND A. HENRY.",SI (PRORATE),L10,1,Y,Y
BLUE WHALE,EASTERN N PACIFIC,2016,6,26,DUNGENESS CRAB POT FISHERY (CALIFORNIA),SAN DIEGO,CA,SI,"35 MILES WEST OF PT. LOMA. TRAILING 2 RED BULLET BUOYS WITH PURPLE T6 CDFW DUNGENESS CRAB BUOY TAG; LINE WRAPPED THROUGH MOUTH OR AROUND PECTORAL FIN. GEAR WAS ORIGINALLY SET OFF SAN LUIS OBISPO IN 40 - 70 FATHOMS OF WATER. WHALE SEEN NEXT DAY, LOGGING AT SURFACE, WHICH IS ABNORMAL BEHAVIOR FOR A BLUE WHALE. UNSUCCESSFUL ATTEMPT AT DISENTANGLING WHALE. FULL CONFIGURATION OF GEAR UNKNOWN. THIS IS A SERIOUS INJURY BECAUSE OF THE NOTED HEALTH DECLINE OF THE WHALE.",SI,L10,1,Y,Y
BLUE WHALE,EASTERN N PACIFIC,2016,7,14,DUNGENESS CRAB POT FISHERY (CALIFORNIA),LOS ANGELES,CA,SI,"SEEN OFF LOS ANGELES TRAILING BUOYS AND LINE. MULTIPLE RESIGHTS AS FAR NORTH AS SANTA CRUZ COUNTY. SEEN ACTIVELY FEEDING WITH OTHER BLUE WHALES THROUGH EARLY OCTOBER. FINAL SIGHTING WAS IN OCTOBER OFF OF LOS ANGELES. WHALE BODY CONDITION WAS DESCRIBED AS 'EMACIATED' IN AUGUST AND 'FAIR' IN OCTOBER. LINE WRAPPED AROUND BODY, 2 YELLOW BUOYS WITH BLUE TIPS, TRAILING 30 FEET BEHIND WHALE, SPACED 1 FM APART, PURPLE CDFW DUNGENESS CRAB BUOY TAG VISIBLE, VIDEO SHOWS ALGAE AND BARNACLE GROWTH ON ROPE AND BUOYS, COMPRESSION OF BUOYS. UNCERTAINTY OVER WHETHER LINE EXTENDS THROUGH MOUTH OR JUST OVER PECTORAL FLIPPERS. HEALTH DECLINE AND TWO CRISS-CROSSED TIGHT WRAPS OF LINE POSTERIOR OF DORSAL AROUND BODY WARRANTS SERIOUS INJURY DUE TO CONSTRICTING GEAR.",SI,L2,1,Y,Y
BLUE WHALE,EASTERN N PACIFIC,2016,8,15,UNIDENTIFIED FISHERY INTERACTION,SAN FRANCISCO,CA,SI (PRORATE),REPORT OF AN ENTANGLED WHALE FROM POINT BLUE CONSERVATION GROUP NEAR THE FARALLON ISLANDS. NO PHOTOS OR ADDITIONAL INFORMATION. AMOUNT OF GEAR AND CONFIGURATION UNKNOWN.,SI (PRORATE),L10,0.75,N,Y
BLUE WHALE,EASTERN N PACIFIC,2016,8,28,UNIDENTIFIED FISHERY INTERACTION,MONTEREY,CA,SI (PRORATE),"2 BLACK OR GREEN BUOYS WITH ABUNDANT MARINE GROWTH TRAILING BEHIND WHALE ABOUT 20-30 FEET, NO TAIL ENTANGLEMENT POSSIBLY PECTORAL FIN. AMOUNT AND CONFIGURATION OF GEAR UNKNOWN. NO PHOTOS.",SI (PRORATE),L10,0.75,N,Y
BLUE WHALE,EASTERN N PACIFIC,2016,10,26,VESSEL STRIKE,SAN MATEO,CA,DEAD,"MODERATELY DECOMPOSED 65-FOOT LONG BLUE WHALE NECROPSIED BY THE MARINE MAMMAL CENTER, FINDINGS OF BLUNT FORCE TRAUMA. SOME UNCERTAINTY WHETHER OR NOT VESSEL STRIKE WAS POST-MORTEM.",DEAD,NA,1,N,N
BLUE WHALE,EASTERN N PACIFIC,2017,5,25,VESSEL STRIKE,MARIN,CA,DEAD,"NECROPSY CONDUCTED BY MARINE MAMMAL CENTER IN SAUSILITO. BLUNT FORCE TRAUMA DUE TO A BOAT STRIKE,” SAID BARBIE HALASKA, A BIOLOGIST AND RESEARCH ASSISTANT AT THE MARINE MAMMAL CENTER IN SAUSALITO. LEFT SIDE OF BODY WAS DAMAGED. FINDINGS INCLUDED 10 BROKEN RIBS AND 10 FRACTURED VERTEBRAE NEAR THE TAIL AND MID-BODY.",DEAD,NA,1,N,Y
BLUE WHALE,EASTERN N PACIFIC,2017,6,10,DUNGENESS CRAB POT FISHERY (CALIFORNIA),SAN FRANCISCO,CA,SI (PRORATE),"TWO BUOYS ON RIGHT SIDE OF BODY, WITH LINE POSSIBLY EXTENDING TO MOUTH.  ONE BUOY HAD A RED/ORANGE TAG, THIS IS A CA DUNGENESS CRAB ENTANGLEMENT. ONE LARGER YELLOW BUOY WITH BLACK LONGITUDINAL STRIPE TRAILING OFF RIGHT SIDE, MID BODY, POSSIBLE MOUTH ENTANGLEMENT. APPEARS TO BE A GREEN/BLUE LINE AROUND THE HEAD. ANIMAL LUNGING AT SURFACE, OBSERVERS THINK IT MIGHT HAVE SELF-RELEASED, BUT BUOYS WERE NOT SEEN AGAIN. UNCERTAINTY REGARDING CONTINUED PRESENCE OF GEAR ON ANIMAL AND UNKNOWN CONFIGURATION WARRANTS PRORATED SERIOUS INJURY.",SI (PRORATE),L10,0.75,Y,Y
BLUE WHALE,EASTERN N PACIFIC,2017,8,19,UNIDENTIFIED FISHERY INTERACTION,SAN DIEGO,CA,SI (PRORATE),"PHOTOS SHOW BLUE LINE DRAPED OVER BACK OF WHALE DIAGONALLY, FROM ANTERIOR TO DORSAL FIN, TOWARDS MIDBODY. PHOTOS SHOW THAT PRIVATE VESSEL RETRIEVED, VIA CUTTING,  A LONG LENTGH OF BLUE LINE AND 2 LARGE BUMPER BUOYS. UNCLEAR IF GEAR REMAINED ON ANIMAL OR NOT. BODY CONDITION OF WHALE LOOKED GOOD, NO BEHAVIORAL SUMMARY. UNKNOWN GEAR CONFIGURATION AND AMOUNT.",SI (PRORATE),L10,0.75,N,Y
BLUE WHALE,EASTERN N PACIFIC,2017,9,23,UNIDENTIFIED FISHERY INTERACTION,SAN FRANCISCO,CA,SI (PRORATE),PHOTOS SHOW BLUE WHALE TRAILING A SINGLE BUOY APPROXIMATELY 1.5 BODY LENGTHS BEHIND TAIL. ANIMAL WAS ACTIVELY SWIMMING. GEAR CONFIGURATION AND AMOUNT UNKNOWN. PHOTOS REVIEWED BY J. CARRETTA.,SI (PRORATE),L10,0.75,N,Y
BOTTLENOSE DOLPHIN,CALIFORNIA COASTAL,2008,2,17,LOBSTER TRAP ENTANGLEMENT,SAN DIEGO,CA,SI,"FREE-SWIMMING ANIMAL ENTANGLED IN LOBSTER TRAP LINE; LINE WRAPPED AROUND BEAK 3X, THROUGH MOUTH & AROUND PECTORAL FIN. ANIMAL SWAM AWAY AFTER BEING DISENTANGLED BY LIFEGUARDS. ASSIGNED AS SERIOUS INJURY DUE TO IT BEING A SOCIAL ANIMAL SEPARATED FROM ITS GROUP AND NATURE OF ENTANGLEMENT (ANIMAL IMMOBILIZED FOR UNKNOWN TIME PERIOD, POSSIBLE CAPTURE MYOPATHY COMPLICATIONS).  ASSUMED TO BE A CALIFORNIA COASTAL STOCK ANIMAL BASED ON INSHORE LOCATION (EDIT JVC 2016).",SI,"S14, S7B",1,Y,Y
BOTTLENOSE DOLPHIN,CA-OR-WA OFFSHORE,2009,11,10,LIMITED ENTRY FIXED GEAR HOOK AND LINE,OFFSHORE,WA,SI,OBSERVER REPORTED BUOY LINE WRAPPED AROUND ANIMAL'S CAUDAL PEDUNCLE AND FLUKES. VESSEL CAPTAIN CUT LINE OFF DOLPHIN AND IT SWAM AWAY BUT OBSERVER NOTED THAT LINE RESULTED IN CUTS ON CAUDAL PEDUNCLE.,SI,"S7B, S14",1,Y,Y
BOTTLENOSE DOLPHIN,CA-OR-WA OFFSHORE,2010,11,13,CA SWORDFISH DRIFT GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
BOTTLENOSE DOLPHIN,CALIFORNIA COASTAL,2010,12,19,MARINE DEBRIS,SAN DIEGO,CA,DEAD,"ADVANCED STATE OF DECOMPOSITION. DEEP, WIDE LACERATIONS THAT WERE EVENLY SPACED ALONG PEDUNCLE IN COMBINATION WITH WIDE IMPRESSION ON PECTORAL IS SUGGESTIVE OF ENTANGLEMENT IN THICK LINE/ROPE. IDENTIFIED AS COASTAL STOCK ANIMAL VIA GENETICS.",DEAD,NA,1,N,Y
BOTTLENOSE DOLPHIN,CALIFORNIA COASTAL,2012,2,22,MARINE DEBRIS,SAN DIEGO,CA,DEAD,"DOLPHIN WAS FOUND FLOATING UNDER U.S. NAVY MARINE MAMMAL PROGRAM'S DOLPHIN PEN DOCK, OUTSIDE OF THEIR DOLPHIN ENCLOSURES. IT IS THOUGHT THAT THE ANIMAL MAY HAVE BECOME ENTRAPPED, EITHER INITIALLY ENTANGLED OR COULD NOT FIND ITS WAY OUT OF NET CURTAIN. IDENTIFIED AS COASTAL STOCK ANIMAL VIA GENETICS.",DEAD,NA,1,N,Y
BOTTLENOSE DOLPHIN,CALIFORNIA COASTAL,2012,10,16,SCIENTIFIC RESEARCH,SAN LUIS OBISPO,CA,DEAD,ANIMAL CAUGHT IN SEA OTTER RESEARCH NET.,DEAD,NA,1,N,Y
BOTTLENOSE DOLPHIN,CALIFORNIA COASTAL,2013,2,25,UNIDENTIFIED NET FISHERY,SAN DIEGO,CA,DEAD,"CLEAR MULTIFILAMENT ROPE IMPRESSIONS ON THE ROSTRUM, MELON, AXILLA AND BODY. ANIMAL IDENTIFIED AS COASTAL STOCK VIA GENETICS.",DEAD,NA,1,Y,Y
BOTTLENOSE DOLPHIN,CA-OR-WA OFFSHORE,2014,1,3,CA SWORDFISH DRIFT GILLNET FISHERY,SAN DIEGO,CA,DEAD,SELF-REPORTED BY VESSEL CAPTAIN. NO DETAILS OTHER THAN KILLED. ASSUMED TO BE PART OF OFFSHORE CA/OR/WA STOCK BASED ON TYPICAL FISHING LOCATIONS FOR THIS FISHERY.,DEAD,NA,1,Y,Y
BRYDE'S WHALE,EASTERN TROPICAL PACIFIC,2010,11,25,VESSEL STRIKE,MASON,WA,SI,SIGHTED ALIVE ON 11/25/10. ANIMAL INJURED AND NOT SURFACING NORMALLY. EXTERNAL EVIDENCE OF PROPELLER MARKS. WASHED UP DEAD ON 12/4/10 AND TOWED FOR NECROPSY ON 12/6/10. DETERMINED TO BE ONE OR MORE VESSEL STRIKES.,DEAD,L11,1,N,Y
CALIFORNIA SEA LION,U.S.,2007,1,1,HOOK AND LINE FISHERY,LOS ANGELES,CA,SI,"FISH HOOK WITH LINE ATTACHED IN MOUTH; MORTALITY (ANIMAL DIED IN REHAB, CAUSE OF DEATH IDENTIFIED AS LEPTOSPOROSIS, BUT FISH HOOK MAY HAVE ALSO BEEN A CONTRIBUTING FACTOR).",DEAD,P5A,1,N,Y
CALIFORNIA SEA LION,U.S.,2007,1,2,HOOK AND LINE FISHERY,SAN DIEGO,CA,NSI,"FISH HOOK IN LEFT REAR FLIPPER; NON-FATAL INJURY (ANIMAL TAKEN INTO REHAB, TREATED & RELEASED).",NSI,P5C,0,N,N
CALIFORNIA SEA LION,U.S.,2007,1,2,SHOOTING,PIERCE,WA,DEAD,BULLET COLLECTED FROM CARCASS,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2007,1,9,SHOOTING,THURSTON,WA,DEAD,NECROPSY PERFORMED,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2007,1,17,POWER PLANT ENTRAINMENT,SAN DIEGO,CA,DEAD,CARCASS FLOATING IN POWER PLANT INTAKE CHANNEL,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2007,1,19,SHOOTING,PIERCE,WA,DEAD,NECROPSY PERFORMED,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2007,1,20,CA SWORDFISH DRIFT GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,1,20,GILLNET FISHERY,SAN LUIS OBISPO,CA,SI,"GREEN MONOFILAMENT NETTING WRAPPED AROUND NECK, CUTTING INTO BOTH SIDES OF MOUTH; NON-FATAL INJURY. ANIMAL TAKEN INTO REHAB, TREATED & RELEASED.",NSI,P7B,0,Y,N
CALIFORNIA SEA LION,U.S.,2007,2,2,MARINE DEBRIS,MONTEREY,CA,SI,"BLACK RUBBER BAND CUTTING INTO NECK, EXPOSED SKIN. ANIMAL DISENTANGLED & RELEASED ON SITE.",NSI,P7B,0,N,N
CALIFORNIA SEA LION,U.S.,2007,2,3,POWER PLANT ENTRAINMENT,SAN DIEGO,CA,DEAD,CARCASS FLOATING IN POWER PLANT INTAKE CHANNEL,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2007,2,8,POWER PLANT ENTRAINMENT,LOS ANGELES,CA,DEAD,CARCASS FLOATING IN POWER PLANT INTAKE CHANNEL,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2007,2,22,SHOOTING,SAN DIEGO,CA,SI,GUNSHOT WOUND TO BACK; MORTALITY (ANIMAL DIED IN REHAB),DEAD,P9,1,N,Y
CALIFORNIA SEA LION,U.S.,2007,2,26,GILLNET FISHERY,LOS ANGELES,CA,SI,"GILLNET FRAGMENT AROUND NECK, CUTTING INTO SKIN & SUBCUTANEOUS TISSUE ON RIGHT SIDE; NON-FATAL INJURY (ANIMAL TAKEN INTO REHAB, TREATED & RELEASED)",NSI,P7B,0,Y,N
CALIFORNIA SEA LION,U.S.,2007,3,6,MARINE DEBRIS,TILLAMOOK,OR,SI,PACKING BAND OR LINE AROUND NECK,SI,P8A,1,N,Y
CALIFORNIA SEA LION,U.S.,2007,3,6,MARINE DEBRIS,TILLAMOOK,OR,SI,PACKING BAND OR LINE AROUND NECK,SI,P8A,1,N,Y
CALIFORNIA SEA LION,U.S.,2007,3,7,MARINE DEBRIS,TILLAMOOK,OR,SI,THIN LINE AROUND NECK,SI,P8A,1,N,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,10,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,12,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,12,MARINE DEBRIS,LOS ANGELES,CA,SI,"FISHING LINE WRAPPED AROUND FRONT FLIPPER TAG; MORTALITY (ANIMAL EUTHANIZED IN REHAB, CAUSE OF DEATH = NEUROLOGICAL PROBLEM ). ROLE OF FISHING LINE IN CAUSE OF DEATH UNKNOWN.",DEAD,P6,1,N,Y
CALIFORNIA SEA LION,U.S.,2007,3,12,POWER PLANT ENTRAINMENT,SAN DIEGO,CA,DEAD,CARCASS FLOATING IN POWER PLANT INTAKE CHANNEL,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2007,3,16,CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2007,3,16,HOOK AND LINE FISHERY,ORANGE,CA,SI,"FISH HOOK WITH ATTACHED FISHING LINE IN MOUTH; NON-FATAL INJURY (ANIMAL TAKEN INTO REHAB, TREATED & RELEASED)",NSI,P5A,0,N,N
CALIFORNIA SEA LION,U.S.,2007,3,21,MARINE DEBRIS,TILLAMOOK,OR,SI,THICK BLACK BAND AROUND NECK,SI,P8A,1,N,Y
CALIFORNIA SEA LION,U.S.,2007,3,25,HOOK AND LINE FISHERY,ORANGE,CA,SI,"FISH HOOK IN GUM; NON-FATAL INJURY (ANIMAL TAKEN INTO REHAB, TREATED & RELEASED)",NSI,P5C,0,N,N
CALIFORNIA SEA LION,U.S.,2007,3,31,VESSEL STRIKE,LOS ANGELES,CA,SI,"SERIES OF LARGE, FRESH, PARALLEL LACERATIONS EXTENDING FROM FRONT FLIPPERS DOWN LEFT ABDOMEN TO REAR FLIPPERS. ANIMAL EUTHANIZED IN REHABILITATION.",DEAD,P15,1,N,Y
CALIFORNIA SEA LION,U.S.,2007,4,6,VESSEL STRIKE,LOS ANGELES,CA,DEAD,CARCASS FLOATING OFFSHORE; PROPELLER-LIKE WOUNDS TO ABDOMINAL AREA; INTERNAL ORGANS EXPOSED,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2007,4,9,SHOOTING,LOS ANGELES,CA,SI,GUNSHOT WOUND TO RIGHT CAUDAL LUMBAR AREA; MORTALITY (ANIMAL DIED IN REHAB),DEAD,P9,1,N,Y
CALIFORNIA SEA LION,U.S.,2007,4,13,SHOOTING,ORANGE,CA,DEAD,CARCASS; GUNSHOT WOUND TO BACK OF NECK,DEAD,NA,1,N,Y
