"",AREA,"SAMPLECOLLECTIONDATE(S)",CRAB TYPE,"NUMBEROFSAMPLES","RESULTS - RANGE(FDA ACTIONLEVEL - >30 PPM)","AVERAGELEVEL (FDAACTION LEVEL ->30 PPM)","PERCENT OFSAMPLESEXCEEDINGACTION LEVEL"
Bodega Head,11/10/2016,Dungeness,6,5.5-14 ppm,9 ppm,0%,
Russian River,11/10/2016,Dungeness,6,3.2-11 ppm,8 ppm,0%,
Bodega Head,11/26/2016,Dungeness,6,<2.5-11 ppm,4 ppm,0%,
Salt Point,11/26/2016,Dungeness,6,<2.5-26 ppm,7 ppm,0%,
Bodega Bay,12/12/2016,Rock,6,5.2-49 ppm,19 ppm,17%,
Gualala,12/13/2016,Dungeness,6,<2.5-28 ppm,10 ppm,0%,
Bodega Bay,1/6/2017,Rock,6,4.8-23 ppm,12 ppm,0%,
Point Reyes,1/16/2017,Rock,6,<2.5-39 ppm,7 ppm,17%,
Bodega Bay,1/18/2017,Rock,6,Non-detectable,Non-detectable,0%,
Point Reyes,1/26/2017,Rock,6,<2.5-22 ppm,7 ppm,0%,
Point Reyes,2/4/2017,Rock,6,<2.5-15 ppm,5 ppm,0%,
"Half MoonBay/SF",Pillar Point,7/31/2016,Rock,6,17-48 ppm,32 ppm,33%,
"",Pillar Point,8/7/2016,Rock,6,28-320 ppm,116 ppm,67%,
"",Pillar Point,9/5/2016,Rock,6,<2.5-17 ppm,6 ppm,0%,
"",Bonita Cove,9/6/2016,Rock,6,17-91 ppm,49 ppm,50%,
"",Point Diablo,9/6/2016,Rock,6,<2.5-44 ppm,17 ppm,17%,
"",Pillar Point,9/9/2016,Dungeness,6,<2.5-20 ppm,4 ppm,0%,
"",Pillar Point,9/25/2016,Rock,6,<2.5-110 ppm,29 ppm,33%,
"",Pigeon Point,10/7/2016,Dungeness,6,4.5-24 ppm,11 ppm,0%,
"",Pillar Point,11/27/2016,Rock,6,<2.5-71 ppm,14 ppm,17%,
"",Pillar Point,12/31/2016,Rock,6,<2.5-24 ppm,9 ppm,0%,
"",Pillar Point,1/14/2017,Rock,6,<2.5-9.9 ppm,2 ppm,0%,
Monterey,Monterey Bay,8/6/2016,Rock,6,<2.5-84 ppm,27 ppm,33%,
"",Monterey Bay,9/14/2016,Dungeness,6,14-52 ppm,33 ppm,50%,
"",Monterey Bay,9/14/2016,Rock,4,<2.5-20 ppm,9 ppm,0%,
"",Monterey Bay,9/25/2016,Dungeness,6,15-55 ppm,27 ppm,17%,
"",Santa Cruz,9/25/2016,Dungeness,6,3.3-39 ppm,17 ppm,17%,
"",Monterey Bay,10/13/2016,Rock,6,Non-detectable,Non-detectable,0%,
"",Monterey Bay,10/13/2016,Dungeness,6,7.1-26 ppm,16 ppm,0%,
"",Santa Cruz,10/27/2016,Dungeness,6,5-26 ppm,15 ppm,0%,
Morro Bay,Avila,8/13/2016,Rock,6,7.7-30 ppm,17 ppm,0%,
"",Avila,9/28/2016,Dungeness,6,3.6-7.6 ppm,5 ppm,0%,
"",,,,,,,,
Santa Barbara,"Santa BarbaraHarbor",4/19/2017,Rock,6,<2.5-73 ppm,22 ppm,33%,
"","Santa BarbaraHarbor",5/3/2017,Rock,3,3.1-30 ppm,14 ppm,0%,
"","Santa BarbaraHarbor",5/12/2017,Rock,6,Non-detectable,Non-detectable,0%,
"",,,,,,,,
San Diego,San Diego,9/23/2016,Spider,3,Non-detectable,Non-detectable,0%,
